연번,제공기관명,주소,기관 전화번호,팩스번호,위도,경도
43,사회복지법인호산나복지재단,부산광역시 사하구 낙동남로1405번길 26 (하단동),051-293-8286,051-208-7822,35.10793909,128.9654722
44,사단법인두리하나희망찾기복지회,"부산광역시 사하구 다대로 626 (다대동, 기영빌딩)",051-265-2101,051-263-2101,35.05106874,128.9700082
45,사하구장애인협회,"부산광역시 사하구 다송로72번길  63 (다대동,예원빌딩 202호)",051-261-2275,051-261-2276,35.06005818,128.9809130
46,부산어울림장애인자립생활센터,"부산광역시 사하구 을숙도대로 660, 4층 (장림동, 삼일빌딩)",051-265-5585,051-265-5512,35.08474718,128.9776559
47,사하두바퀴장애인자립생활센터,"부산광역시 사하구 하신번영로 135, 407호 (신평동, 신평빌딩)",051-294-1282,051-980-0505,35.09458925,128.9597979
48,서구한빛장애인자립생활센터,"부산광역시 서구 구덕로 310, 3층 301호 (동대신동2가, 골든캐슬)",051-253-7707,051-253-7710,35.11155253,129.0173467
49,복지21플러스,"부산광역시 서구 구덕로 350, C동 2층 3호 (동대신동3가, 문화아파트)",051-256-0382,051-255-0382,35.11502544,129.0159748
50,사단법인부산광역시서구장애인협회,"부산광역시 서구 구덕로150번길 5-2, 1층 (토성동3가)",051-242-7069,051-242-7068,35.09844517,129.0206714
51,서구온사랑장애인활동지원센터,"부산광역시 서구 자갈치로 2, 6층(충무동1가)",051-248-5757,,35.09620231,129.0247453
52,사단법인부산광역시수영구장애인협회,부산광역시 수영구 광남로 218-4 (민락동),051-756-1597,051-755-1596,35.15850390,129.1226201
53,부산가톨릭농아인복지회,부산광역시 수영구 광안동 737-13,051-752-8771,051-753-8654,35.15984784,129.1108064
54,버텅장애인자립생활센터,"부산광역시 연제구 명륜로2번길 7, 101동 302호 (거제동, 삼익퓨쳐타워)",051-507-9601,051-507-9603,35.19517316,129.0809587
55,연제지역자활센터,"부산광역시 연제구 봉수로 17, 3층 (연산동)",051-853-8272,051-853-1944,35.17272947,129.0889055
56,(사)부산시연제구장애인협회,"부산광역시 연제구 연수로 190, 3층 (연산동)",051-866-3321,051-866-3323,35.17379736,129.0914337
57,사회복지법인 장산복지 거제온사랑장애인활동지원센터,"부산광역시 연제구 월드컵대로 231, 402호 (거제동, 태연빌딩)(거제온사랑장애인활동지원센터)",051-710-2750,051-710-2751,35.18928974,129.0715476
58,앤설리반 재가요양센터,"부산광역시 연제구 중앙대로 1078, 1211호 (연산동, 뉴그랜드오피스텔)",051-865-0070,051-865-0071,35.18397262,129.0805466
59,생명사랑재가복지센터,"부산광역시 연제구 토현로 6, 상가 가동 208호 (연산동, 망미주공아파트)",051-755-4507,051-753-4507,35.17851321,129.1110606
60,사)영도구장애인협회,"부산광역시 영도구 동삼북로 2, 101호 (동삼동, 주택공사영구임대아파트 1단지상가)",051-403-4032,051-405-4032,35.08276898,129.0667734
61,상리종합사회복지관,부산광역시 영도구 상리로  63-16 (동삼동),051-404-5061,051-404-5062,35.08616799,129.0707765
62,영도장애인자립생활센터,"부산광역시 영도구 절영로 560, 6층 (동삼동, 생명길교회)",051-403-9280,051-403-9281,35.07575120,129.0724275
63,절영종합사회복지관,부산광역시 영도구 함지로  33-10 (동삼동),051-404-5530,051-404-5532,35.07221265,129.0617457
64,영도구장애인복지관,"부산광역시 영도구 함지로79번길  6 (동삼동, 영도어울림문화공원내)",051-403-6060,051-403-6400,35.07526852,129.0668621
65,부산중증장애인자립생활협회,"부산광역시 중구 대영로 233, 1층 (영주동)",051-468-5787,051-468-5776,35.11233015,129.0361915
66,부산광역시중구장애인협회,"부산광역시 중구 동영로93번길 3 (영주동, 해동빌라 1층)",051-466-4126,051-468-8920,35.11322358,129.0318478
67,장애우권익문제연구소 부산지소,"부산광역시 중구 중앙대로 131 (대창동1가, 센트럴오피스텔 1404~1406호)",051-465-4483,051-442-0883,35.10945846,129.0368023
68,(사)장애인정보예술협회,부산광역시 해운대구 반송동  62-34,051-545-2777,051-545-3777,35.23307074,129.1574952
69,사랑샘재가요양복지센터,부산광역시 해운대구 반여동 1014-7,051-525-9188,051-526-2608,35.20622657,129.1241889
70,(사)부산장애인봉사협회해운대구지회,"부산광역시 해운대구 반여로 10, 3층 (반여동)",051-731-3535,051-731-3232,35.19388477,129.1185613
71,대성원(대성재가장애인복지센터),"부산광역시 해운대구 선수촌로 181-2, 3층 (반여동, 늘푸른빌딩)",051-784-0029,070-8610-0620,35.20902467,129.1237772
72,해운대장애인자립생활센터,"부산광역시 해운대구 세실로 64, 139호 (좌동, 화목데파트상가 지하)",051-704-7707,051-704-7708,35.17097853,129.1776682
73,사랑샘장애인자립생활센터,"부산광역시 해운대구 센텀북대로 60, 503호 (재송동, 센텀IS타워)",051-525-2678,051-782-2608,35.17664093,129.1254057
74,해운대지역자활센터,"부산광역시 해운대구 윗반송로 64, 3층 (반송동, KT빌딩 3층)",051-543-0234,051-545-2542,35.22973636,129.1564811
75,(사)부산해운대구장애인협회,"부산광역시 해운대구 해운대로570번길 8, 9층 (우동, 유성프라자)",051-731-1116,051-744-1146,35.16056228,129.1548413
